ResponseId,Country_Normalized,ConvertedCompYearly,devtype_grouped,DatabaseHaveWorkedWith
531,Germany,85925.0,Software Developer,SQLite
535,Bolivia,31200.0,Software Developer,Elasticsearch
535,Bolivia,31200.0,Software Developer,Microsoft SQL Server
538,Germany,55851.0,Infrastructure & DevOps,PostgreSQL
539,USA,130000.0,Software Developer,No database reported
543,Morocco,3618.0,Software Developer,MariaDB
543,Morocco,3618.0,Software Developer,MongoDB
543,Morocco,3618.0,Software Developer,MySQL
543,Morocco,3618.0,Software Developer,SQLite
544,USA,150000.0,Research & Education,SQLite
549,India,13160.0,Software Developer,MongoDB
549,India,13160.0,Software Developer,PostgreSQL
550,USA,160000.0,Other,Elasticsearch
550,USA,160000.0,Other,PostgreSQL
550,USA,160000.0,Other,Redis
552,Turkey,2411.0,Software Developer,MariaDB
552,Turkey,2411.0,Software Developer,MySQL
552,Turkey,2411.0,Software Developer,Redis
552,Turkey,2411.0,Software Developer,Solr
553,Luxembourg,118147.0,Software Developer,Microsoft SQL Server
554,Georgia,50340.0,Software Developer,Microsoft SQL Server
554,Georgia,50340.0,Software Developer,Redis
554,Georgia,50340.0,Software Developer,SQLite
560,Uk,49681.0,Research & Education,SQLite
561,USA,100000.0,Software Developer,Microsoft SQL Server
561,USA,100000.0,Software Developer,SQLite
565,Saudi Arabia,16532.0,Other,Microsoft Access
565,Saudi Arabia,16532.0,Other,Microsoft SQL Server
565,Saudi Arabia,16532.0,Other,MySQL
565,Saudi Arabia,16532.0,Other,Oracle
565,Saudi Arabia,16532.0,Other,SQLite
566,USA,100000.0,Software Developer,Microsoft Access
566,USA,100000.0,Software Developer,Microsoft SQL Server
566,USA,100000.0,Software Developer,MySQL
566,USA,100000.0,Software Developer,SQLite
567,USA,220000.0,Software Developer,Elasticsearch
567,USA,220000.0,Software Developer,Microsoft SQL Server
567,USA,220000.0,Software Developer,MongoDB
567,USA,220000.0,Software Developer,Redis
568,Ukraine,494.0,Software Developer,Elasticsearch
568,Ukraine,494.0,Software Developer,MySQL
568,Ukraine,494.0,Software Developer,PostgreSQL
569,USA,220000.0,Software Developer,Couchbase
569,USA,220000.0,Software Developer,MariaDB
569,USA,220000.0,Software Developer,MySQL
569,USA,220000.0,Software Developer,Presto
569,USA,220000.0,Software Developer,SQLite
570,Brazil,10630.0,Software Developer,Couchbase
570,Brazil,10630.0,Software Developer,Microsoft SQL Server
572,Canada,218079.0,Software Developer,MongoDB
573,USA,140000.0,Software Developer,Microsoft SQL Server
573,USA,140000.0,Software Developer,SQLite
576,USA,180000.0,Software Developer,BigQuery
576,USA,180000.0,Software Developer,DuckDB
576,USA,180000.0,Software Developer,Elasticsearch
576,USA,180000.0,Software Developer,Firebase Realtime Database
576,USA,180000.0,Software Developer,MongoDB
576,USA,180000.0,Software Developer,MySQL
576,USA,180000.0,Software Developer,Oracle
576,USA,180000.0,Software Developer,PostgreSQL
576,USA,180000.0,Software Developer,Presto
576,USA,180000.0,Software Developer,Redis
576,USA,180000.0,Software Developer,Snowflake
576,USA,180000.0,Software Developer,SQLite
577,Germany,42962.0,Software Developer,MariaDB
577,Germany,42962.0,Software Developer,MySQL
577,Germany,42962.0,Software Developer,SQLite
579,Uk,75159.0,Software Developer,No database reported
580,USA,150000.0,Software Developer,Elasticsearch
580,USA,150000.0,Software Developer,PostgreSQL
580,USA,150000.0,Software Developer,SQLite
582,Uk,104458.0,Software Developer,Microsoft SQL Server
582,Uk,104458.0,Software Developer,MongoDB
586,USA,100000.0,Data & AI,BigQuery
586,USA,100000.0,Data & AI,DuckDB
586,USA,100000.0,Data & AI,PostgreSQL
586,USA,100000.0,Data & AI,SQLite
587,Ireland,47259.0,Software Developer,MySQL
587,Ireland,47259.0,Software Developer,Redis
588,USA,150000.0,Software Developer,Elasticsearch
588,USA,150000.0,Software Developer,H2
588,USA,150000.0,Software Developer,MariaDB
588,USA,150000.0,Software Developer,MySQL
588,USA,150000.0,Software Developer,PostgreSQL
588,USA,150000.0,Software Developer,Redis
590,USA,150000.0,Software Developer,Neo4J
590,USA,150000.0,Software Developer,PostgreSQL
590,USA,150000.0,Software Developer,Redis
592,Germany,96666.0,Software Developer,MongoDB
592,Germany,96666.0,Software Developer,PostgreSQL
593,USA,150000.0,Software Developer,Microsoft SQL Server
596,Ukraine,1740.0,Software Developer,MariaDB
597,Uk,152865.0,Other,No database reported
599,Romania,3021.0,Data & AI,MySQL
599,Romania,3021.0,Data & AI,Neo4J
599,Romania,3021.0,Data & AI,PostgreSQL
599,Romania,3021.0,Data & AI,Presto
599,Romania,3021.0,Data & AI,SQLite
602,Italy,29000.0,Software Developer,Microsoft SQL Server
602,Italy,29000.0,Software Developer,MySQL
602,Italy,29000.0,Software Developer,Oracle
603,Ukraine,163.0,Software Developer,MySQL
603,Ukraine,163.0,Software Developer,PostgreSQL
604,Uk,67516.0,Other,H2
604,Uk,67516.0,Other,Neo4J
604,Uk,67516.0,Other,Oracle
605,Italy,64444.0,Software Developer,IBM DB2
605,Italy,64444.0,Software Developer,PostgreSQL
607,USA,185000.0,Software Developer,Cassandra
607,USA,185000.0,Software Developer,Elasticsearch
607,USA,185000.0,Software Developer,InfluxDB
607,USA,185000.0,Software Developer,MariaDB
607,USA,185000.0,Software Developer,MongoDB
607,USA,185000.0,Software Developer,MySQL
607,USA,185000.0,Software Developer,PostgreSQL
607,USA,185000.0,Software Developer,Redis
607,USA,185000.0,Software Developer,SQLite
608,Switzerland,88019.0,Other,PostgreSQL
608,Switzerland,88019.0,Other,SQLite
609,USA,55000.0,Security & Blockchain,MariaDB
609,USA,55000.0,Security & Blockchain,Microsoft SQL Server
609,USA,55000.0,Security & Blockchain,MongoDB
609,USA,55000.0,Security & Blockchain,MySQL
609,USA,55000.0,Security & Blockchain,PostgreSQL
609,USA,55000.0,Security & Blockchain,Redis
609,USA,55000.0,Security & Blockchain,SQLite
611,Spain,85925.0,Infrastructure & DevOps,No database reported
613,Spain,91295.0,Management,MariaDB
613,Spain,91295.0,Management,MongoDB
613,Spain,91295.0,Management,MySQL
613,Spain,91295.0,Management,SQLite
614,India,5982.0,Software Developer,Microsoft SQL Server
614,India,5982.0,Software Developer,MongoDB
614,India,5982.0,Software Developer,MySQL
616,France,67666.0,Software Developer,SQLite
617,Italy,178343.0,Other,No database reported
619,Uk,85350.0,Software Developer,Microsoft SQL Server
621,USA,120000.0,Software Developer,PostgreSQL
623,Germany,97740.0,Software Developer,PostgreSQL
623,Germany,97740.0,Software Developer,Redis
623,Germany,97740.0,Software Developer,SQLite
629,Cyprus,93980.0,Software Developer,No database reported
630,Paraguay,100000.0,Software Developer,PostgreSQL
632,Switzerland,128129.0,Software Developer,MongoDB
632,Switzerland,128129.0,Software Developer,PostgreSQL
633,France,44037.0,Software Developer,No database reported
634,USA,101000.0,Software Developer,SQLite
641,Ireland,161109.0,Software Developer,Cosmos DB
641,Ireland,161109.0,Software Developer,Microsoft SQL Server
642,Germany,89147.0,Software Developer,Microsoft SQL Server
650,Lithuania,90221.0,Software Developer,Microsoft SQL Server
651,Italy,86999.0,Software Developer,MySQL
651,Italy,86999.0,Software Developer,PostgreSQL
651,Italy,86999.0,Software Developer,Redis
651,Italy,86999.0,Software Developer,SQLite
651,Italy,86999.0,Software Developer,Supabase
653,USA,190000.0,Software Developer,Dynamodb
653,USA,190000.0,Software Developer,Elasticsearch
653,USA,190000.0,Software Developer,EventStoreDB
653,USA,190000.0,Software Developer,MariaDB
653,USA,190000.0,Software Developer,PostgreSQL
653,USA,190000.0,Software Developer,Redis
653,USA,190000.0,Software Developer,SQLite
655,Uk,31847.0,Software Developer,Microsoft SQL Server
656,Italy,37592.0,Software Developer,Firebird
657,Netherlands,53703.0,Software Developer,Microsoft SQL Server
657,Netherlands,53703.0,Software Developer,SQLite
659,Netherlands,150369.0,Software Developer,No database reported
660,Germany,10955.0,Software Developer,MySQL
660,Germany,10955.0,Software Developer,PostgreSQL
661,Slovenia,53703.0,Software Developer,Cosmos DB
663,Romania,161109.0,Software Developer,MariaDB
663,Romania,161109.0,Software Developer,MongoDB
663,Romania,161109.0,Software Developer,MySQL
663,Romania,161109.0,Software Developer,Redis
664,Spain,32222.0,Software Developer,PostgreSQL
666,India,47854.0,Management,Elasticsearch
666,India,47854.0,Management,MariaDB
666,India,47854.0,Management,MongoDB
666,India,47854.0,Management,MySQL
666,India,47854.0,Management,PostgreSQL
670,USA,118000.0,Software Developer,MariaDB
670,USA,118000.0,Software Developer,Microsoft SQL Server
670,USA,118000.0,Software Developer,PostgreSQL
670,USA,118000.0,Software Developer,SQLite
671,USA,150000.0,Research & Education,SQLite
672,USA,87250.0,Software Developer,Solr
676,Germany,55851.0,Software Developer,Cassandra
676,Germany,55851.0,Software Developer,H2
676,Germany,55851.0,Software Developer,InfluxDB
676,Germany,55851.0,Software Developer,MariaDB
676,Germany,55851.0,Software Developer,PostgreSQL
676,Germany,55851.0,Software Developer,Redis
678,Spain,42962.0,Software Developer,MariaDB
678,Spain,42962.0,Software Developer,Microsoft SQL Server
678,Spain,42962.0,Software Developer,MySQL
678,Spain,42962.0,Software Developer,SQLite
680,Netherlands,56925.0,Software Developer,No database reported
682,Germany,91295.0,Software Developer,Microsoft SQL Server
682,Germany,91295.0,Software Developer,Oracle
683,Russia,56022.0,Software Developer,SQLite
686,USA,124000.0,Software Developer,Elasticsearch
686,USA,124000.0,Software Developer,Oracle
686,USA,124000.0,Software Developer,Redis
688,Brazil,10070.0,Software Developer,Cassandra
688,Brazil,10070.0,Software Developer,MariaDB
688,Brazil,10070.0,Software Developer,Microsoft SQL Server
688,Brazil,10070.0,Software Developer,MongoDB
688,Brazil,10070.0,Software Developer,MySQL
688,Brazil,10070.0,Software Developer,Oracle
688,Brazil,10070.0,Software Developer,PostgreSQL
688,Brazil,10070.0,Software Developer,Redis
688,Brazil,10070.0,Software Developer,SQLite
690,Italy,91295.0,Software Developer,Elasticsearch
690,Italy,91295.0,Software Developer,PostgreSQL
690,Italy,91295.0,Software Developer,Redis
691,USA,120000.0,Infrastructure & DevOps,Oracle
692,France,44037.0,Software Developer,MariaDB
692,France,44037.0,Software Developer,Microsoft SQL Server
692,France,44037.0,Software Developer,MongoDB
692,France,44037.0,Software Developer,MySQL
692,France,44037.0,Software Developer,PostgreSQL
692,France,44037.0,Software Developer,Redis
692,France,44037.0,Software Developer,SQLite
693,Pakistan,85925.0,Infrastructure & DevOps,Dynamodb
693,Pakistan,85925.0,Infrastructure & DevOps,Elasticsearch
693,Pakistan,85925.0,Infrastructure & DevOps,IBM DB2
693,Pakistan,85925.0,Infrastructure & DevOps,InfluxDB
693,Pakistan,85925.0,Infrastructure & DevOps,MariaDB
693,Pakistan,85925.0,Infrastructure & DevOps,Microsoft Access
693,Pakistan,85925.0,Infrastructure & DevOps,Microsoft SQL Server
693,Pakistan,85925.0,Infrastructure & DevOps,MongoDB
693,Pakistan,85925.0,Infrastructure & DevOps,MySQL
693,Pakistan,85925.0,Infrastructure & DevOps,Oracle
693,Pakistan,85925.0,Infrastructure & DevOps,PostgreSQL
693,Pakistan,85925.0,Infrastructure & DevOps,Redis
693,Pakistan,85925.0,Infrastructure & DevOps,SQLite
695,Netherlands,6230.0,Software Developer,Cosmos DB
695,Netherlands,6230.0,Software Developer,Microsoft SQL Server
695,Netherlands,6230.0,Software Developer,SQLite
697,Ukraine,4937.0,Software Developer,MongoDB
697,Ukraine,4937.0,Software Developer,PostgreSQL
697,Ukraine,4937.0,Software Developer,Redis
700,Germany,139628.0,Software Developer,BigQuery
700,Germany,139628.0,Software Developer,PostgreSQL
700,Germany,139628.0,Software Developer,Redis
701,Canada,181732.0,Infrastructure & DevOps,Cosmos DB
701,Canada,181732.0,Infrastructure & DevOps,Dynamodb
703,USA,205000.0,Software Developer,PostgreSQL
707,Venezuela,12000.0,Software Developer,MySQL
707,Venezuela,12000.0,Software Developer,PostgreSQL
708,Japan,50915.0,Research & Education,No database reported
710,France,69814.0,Software Developer,No database reported
712,Latvia,32222.0,Management,MySQL
712,Latvia,32222.0,Management,SQLite
715,USA,163000.0,Software Developer,Microsoft SQL Server
718,Sweden,70584.0,Software Developer,MySQL
719,Costa Rica,200000.0,Software Developer,Dynamodb
719,Costa Rica,200000.0,Software Developer,MySQL
719,Costa Rica,200000.0,Software Developer,PostgreSQL
720,Italy,107406.0,Software Developer,Firebird
720,Italy,107406.0,Software Developer,SQLite
722,Poland,74239.0,Software Developer,No database reported
723,India,9571.0,Software Developer,Cloud Firestore
723,India,9571.0,Software Developer,Firebase Realtime Database
723,India,9571.0,Software Developer,MariaDB
723,India,9571.0,Software Developer,Microsoft SQL Server
723,India,9571.0,Software Developer,MongoDB
723,India,9571.0,Software Developer,MySQL
723,India,9571.0,Software Developer,Oracle
723,India,9571.0,Software Developer,PostgreSQL
723,India,9571.0,Software Developer,Redis
723,India,9571.0,Software Developer,SQLite
723,India,9571.0,Software Developer,Supabase
725,France,66592.0,Research & Education,No database reported
726,Uk,57325.0,Software Developer,Microsoft SQL Server
728,Uk,56051.0,Software Developer,PostgreSQL
728,Uk,56051.0,Software Developer,SQLite
729,Italy,27926.0,Software Developer,MariaDB
729,Italy,27926.0,Software Developer,MySQL
730,Germany,214812.0,Management,MariaDB
730,Germany,214812.0,Management,Microsoft SQL Server
730,Germany,214812.0,Management,MySQL
730,Germany,214812.0,Management,PostgreSQL
731,USA,105000.0,Software Developer,Cloud Firestore
731,USA,105000.0,Software Developer,PostgreSQL
731,USA,105000.0,Software Developer,SQLite
733,Brazil,49233.0,Software Developer,Dynamodb
733,Brazil,49233.0,Software Developer,Elasticsearch
733,Brazil,49233.0,Software Developer,H2
733,Brazil,49233.0,Software Developer,MariaDB
733,Brazil,49233.0,Software Developer,MongoDB
733,Brazil,49233.0,Software Developer,PostgreSQL
733,Brazil,49233.0,Software Developer,Snowflake
734,Czech Republic,43435.0,Software Developer,No database reported
738,Ukraine,48000.0,Software Developer,MongoDB
738,Ukraine,48000.0,Software Developer,PostgreSQL
739,USA,70000.0,Software Developer,Microsoft SQL Server
739,USA,70000.0,Software Developer,MySQL
741,USA,150000.0,Software Developer,Cassandra
741,USA,150000.0,Software Developer,Microsoft SQL Server
741,USA,150000.0,Software Developer,RavenDB
741,USA,150000.0,Software Developer,Snowflake
742,Uk,127388.0,Management,Cosmos DB
743,Spain,53703.0,Research & Education,MariaDB
745,Netherlands,91295.0,Software Developer,Elasticsearch
745,Netherlands,91295.0,Software Developer,SQLite
747,Canada,122124.0,Data & AI,DuckDB
747,Canada,122124.0,Data & AI,MongoDB
747,Canada,122124.0,Data & AI,Redis
751,Norway,149746.0,Software Developer,Microsoft SQL Server
751,Norway,149746.0,Software Developer,Neo4J
751,Norway,149746.0,Software Developer,PostgreSQL
754,Germany,137136.0,Software Developer,Microsoft SQL Server
754,Germany,137136.0,Software Developer,SQLite
760,Austria,80555.0,Software Developer,PostgreSQL
762,USA,175000.0,Software Developer,BigQuery
762,USA,175000.0,Software Developer,Firebase Realtime Database
762,USA,175000.0,Software Developer,PostgreSQL
763,USA,39520.0,Research & Education,InfluxDB
763,USA,39520.0,Research & Education,Microsoft SQL Server
763,USA,39520.0,Research & Education,MySQL
763,USA,39520.0,Research & Education,SQLite
764,Uk,68535.0,Software Developer,Oracle
765,USA,120000.0,Software Developer,PostgreSQL
766,Uk,114649.0,Infrastructure & DevOps,BigQuery
766,Uk,114649.0,Infrastructure & DevOps,SQLite
769,USA,80000.0,Software Developer,No database reported
770,Poland,120000.0,Security & Blockchain,Dynamodb
770,Poland,120000.0,Security & Blockchain,MongoDB
771,Uk,33121.0,Software Developer,Cloud Firestore
771,Uk,33121.0,Software Developer,MySQL
771,Uk,33121.0,Software Developer,SQLite
773,Ukraine,167.0,Software Developer,Dynamodb
773,Ukraine,167.0,Software Developer,MongoDB
773,Ukraine,167.0,Software Developer,MySQL
773,Ukraine,167.0,Software Developer,PostgreSQL
775,Portugal,128887.0,Software Developer,BigQuery
775,Portugal,128887.0,Software Developer,MariaDB
775,Portugal,128887.0,Software Developer,MongoDB
775,Portugal,128887.0,Software Developer,SQLite
777,Finland,84851.0,Software Developer,IBM DB2
777,Finland,84851.0,Software Developer,PostgreSQL
779,Canada,87231.0,Software Developer,Microsoft SQL Server
779,Canada,87231.0,Software Developer,Redis
780,Canada,93047.0,Software Developer,MongoDB
780,Canada,93047.0,Software Developer,PostgreSQL
780,Canada,93047.0,Software Developer,Redis
781,Israel,64762.0,Software Developer,Cassandra
781,Israel,64762.0,Software Developer,MongoDB
781,Israel,64762.0,Software Developer,PostgreSQL
782,USA,163000.0,Software Developer,Databricks SQL
782,USA,163000.0,Software Developer,Elasticsearch
782,USA,163000.0,Software Developer,PostgreSQL
782,USA,163000.0,Software Developer,Snowflake
782,USA,163000.0,Software Developer,SQLite
783,Germany,78621.0,Software Developer,No database reported
786,Netherlands,64444.0,Software Developer,No database reported
787,Lithuania,85925.0,Management,MariaDB
787,Lithuania,85925.0,Management,MySQL
788,Uk,84076.0,Software Developer,Elasticsearch
788,Uk,84076.0,Software Developer,MariaDB
788,Uk,84076.0,Software Developer,Microsoft SQL Server
788,Uk,84076.0,Software Developer,MongoDB
788,Uk,84076.0,Software Developer,MySQL
788,Uk,84076.0,Software Developer,PostgreSQL
788,Uk,84076.0,Software Developer,Redis
788,Uk,84076.0,Software Developer,SQLite
789,Germany,83777.0,Software Developer,No database reported
790,Ukraine,72000.0,Software Developer,Elasticsearch
790,Ukraine,72000.0,Software Developer,MongoDB
790,Ukraine,72000.0,Software Developer,MySQL
790,Ukraine,72000.0,Software Developer,PostgreSQL
790,Ukraine,72000.0,Software Developer,Redis
790,Ukraine,72000.0,Software Developer,Snowflake
790,Ukraine,72000.0,Software Developer,SQLite
792,Uk,35032.0,Software Developer,MariaDB
793,USA,150000.0,Software Developer,No database reported
795,Canada,123578.0,Software Developer,No database reported
796,Netherlands,161109.0,Software Developer,Elasticsearch
797,Venezuela,15600.0,Software Developer,MongoDB
797,Venezuela,15600.0,Software Developer,MySQL
797,Venezuela,15600.0,Software Developer,PostgreSQL
797,Venezuela,15600.0,Software Developer,SQLite
800,Finland,46185.0,Software Developer,No database reported
803,Uk,63694.0,Software Developer,Microsoft SQL Server
804,Uk,73885.0,Software Developer,H2
804,Uk,73885.0,Software Developer,Oracle
806,USA,145000.0,Research & Education,PostgreSQL
806,USA,145000.0,Research & Education,SQLite
808,USA,92000.0,Software Developer,InfluxDB
808,USA,92000.0,Software Developer,Microsoft SQL Server
808,USA,92000.0,Software Developer,MySQL
808,USA,92000.0,Software Developer,PostgreSQL
808,USA,92000.0,Software Developer,Redis
808,USA,92000.0,Software Developer,SQLite
809,Uk,80254.0,Software Developer,No database reported
811,USA,118106.0,Management,Microsoft SQL Server
