ResponseId,Age,Country_Normalized,ConvertedCompYearly,DatabaseWantToWorkWith
781,18-24 years old,Israel,64762.0,Cassandra
781,18-24 years old,Israel,64762.0,Dynamodb
781,18-24 years old,Israel,64762.0,Elasticsearch
781,18-24 years old,Israel,64762.0,PostgreSQL
781,18-24 years old,Israel,64762.0,Supabase
782,35-44 years old,USA,163000.0,PostgreSQL
782,35-44 years old,USA,163000.0,Snowflake
782,35-44 years old,USA,163000.0,SQLite
783,25-34 years old,Germany,78621.0,No database reported
786,25-34 years old,Netherlands,64444.0,No database reported
787,25-34 years old,Lithuania,85925.0,MariaDB
787,25-34 years old,Lithuania,85925.0,MySQL
788,35-44 years old,Uk,84076.0,Elasticsearch
788,35-44 years old,Uk,84076.0,MongoDB
788,35-44 years old,Uk,84076.0,MySQL
788,35-44 years old,Uk,84076.0,Neo4J
788,35-44 years old,Uk,84076.0,Redis
789,35-44 years old,Germany,83777.0,No database reported
790,35-44 years old,Ukraine,72000.0,Elasticsearch
790,35-44 years old,Ukraine,72000.0,MySQL
790,35-44 years old,Ukraine,72000.0,PostgreSQL
790,35-44 years old,Ukraine,72000.0,Redis
792,25-34 years old,Uk,35032.0,MariaDB
792,25-34 years old,Uk,35032.0,MongoDB
792,25-34 years old,Uk,35032.0,MySQL
792,25-34 years old,Uk,35032.0,SQLite
793,25-34 years old,USA,150000.0,No database reported
795,25-34 years old,Canada,123578.0,No database reported
796,35-44 years old,Netherlands,161109.0,No database reported
797,25-34 years old,Venezuela,15600.0,MongoDB
797,25-34 years old,Venezuela,15600.0,MySQL
797,25-34 years old,Venezuela,15600.0,PostgreSQL
797,25-34 years old,Venezuela,15600.0,SQLite
800,25-34 years old,Finland,46185.0,No database reported
803,45-54 years old,Uk,63694.0,MariaDB
803,45-54 years old,Uk,63694.0,Microsoft SQL Server
804,18-24 years old,Uk,73885.0,BigQuery
804,18-24 years old,Uk,73885.0,H2
804,18-24 years old,Uk,73885.0,Oracle
806,55-64 years old,USA,145000.0,PostgreSQL
806,55-64 years old,USA,145000.0,SQLite
808,25-34 years old,USA,92000.0,InfluxDB
808,25-34 years old,USA,92000.0,PostgreSQL
808,25-34 years old,USA,92000.0,Redis
808,25-34 years old,USA,92000.0,SQLite
808,25-34 years old,USA,92000.0,Supabase
809,55-64 years old,Uk,80254.0,No database reported
811,55-64 years old,USA,118106.0,Microsoft SQL Server
811,55-64 years old,USA,118106.0,SQLite
812,35-44 years old,USA,200000.0,No database reported
816,25-34 years old,Italy,32222.0,MariaDB
816,25-34 years old,Italy,32222.0,SQLite
817,25-34 years old,USA,110000.0,No database reported
818,45-54 years old,Sweden,76307.0,No database reported
819,35-44 years old,Nicaragua,72600.0,MySQL
822,35-44 years old,Cyprus,161109.0,InfluxDB
822,35-44 years old,Cyprus,161109.0,MongoDB
822,35-44 years old,Cyprus,161109.0,PostgreSQL
822,35-44 years old,Cyprus,161109.0,Redis
824,35-44 years old,USA,215000.0,Cosmos DB
824,35-44 years old,USA,215000.0,Databricks SQL
824,35-44 years old,USA,215000.0,Microsoft SQL Server
824,35-44 years old,USA,215000.0,PostgreSQL
824,35-44 years old,USA,215000.0,Redis
825,25-34 years old,USA,145000.0,Clickhouse
825,25-34 years old,USA,145000.0,Cloud Firestore
825,25-34 years old,USA,145000.0,Dynamodb
825,25-34 years old,USA,145000.0,Firebase Realtime Database
825,25-34 years old,USA,145000.0,PostgreSQL
825,25-34 years old,USA,145000.0,SQLite
826,25-34 years old,India,41872.0,MySQL
826,25-34 years old,India,41872.0,Redis
828,25-34 years old,Czech Republic,3040.0,Couchbase
828,25-34 years old,Czech Republic,3040.0,Redis
830,25-34 years old,USA,195000.0,MongoDB
830,25-34 years old,USA,195000.0,PostgreSQL
831,55-64 years old,USA,165000.0,SQLite
833,25-34 years old,Netherlands,36518.0,MariaDB
833,25-34 years old,Netherlands,36518.0,MongoDB
833,25-34 years old,Netherlands,36518.0,MySQL
833,25-34 years old,Netherlands,36518.0,SQLite
834,35-44 years old,South Africa,75332.0,Databricks SQL
834,35-44 years old,South Africa,75332.0,Dynamodb
834,35-44 years old,South Africa,75332.0,MariaDB
834,35-44 years old,South Africa,75332.0,MongoDB
834,35-44 years old,South Africa,75332.0,MySQL
835,25-34 years old,Pakistan,12921.0,No database reported
836,25-34 years old,Ukraine,24000.0,No database reported
842,25-34 years old,USA,127000.0,No database reported
844,18-24 years old,USA,98000.0,MariaDB
844,18-24 years old,USA,98000.0,PostgreSQL
844,18-24 years old,USA,98000.0,Redis
845,45-54 years old,USA,90000.0,SQLite
847,45-54 years old,France,53703.0,No database reported
853,35-44 years old,USA,175000.0,No database reported
855,25-34 years old,USA,159000.0,No database reported
857,25-34 years old,Uk,127388.0,Microsoft SQL Server
857,25-34 years old,Uk,127388.0,SQLite
859,45-54 years old,Uk,76433.0,Cosmos DB
859,45-54 years old,Uk,76433.0,Microsoft SQL Server
859,45-54 years old,Uk,76433.0,MySQL
859,45-54 years old,Uk,76433.0,PostgreSQL
859,45-54 years old,Uk,76433.0,Supabase
861,35-44 years old,Nicaragua,211000.0,PostgreSQL
861,35-44 years old,Nicaragua,211000.0,Redis
861,35-44 years old,Nicaragua,211000.0,SQLite
867,18-24 years old,Romania,15536.0,MariaDB
873,45-54 years old,France,71962.0,PostgreSQL
874,45-54 years old,Germany,54777.0,Cosmos DB
874,45-54 years old,Germany,54777.0,MariaDB
874,45-54 years old,Germany,54777.0,MongoDB
875,25-34 years old,Israel,100381.0,BigQuery
875,25-34 years old,Israel,100381.0,PostgreSQL
875,25-34 years old,Israel,100381.0,Redis
875,25-34 years old,Israel,100381.0,Supabase
877,45-54 years old,Finland,80555.0,Cosmos DB
877,45-54 years old,Finland,80555.0,Microsoft SQL Server
879,18-24 years old,Netherlands,60147.0,No database reported
881,45-54 years old,USA,170000.0,Databricks SQL
881,45-54 years old,USA,170000.0,Microsoft SQL Server
881,45-54 years old,USA,170000.0,PostgreSQL
881,45-54 years old,USA,170000.0,Redis
881,45-54 years old,USA,170000.0,SQLite
883,25-34 years old,Switzerland,89134.0,SQLite
884,45-54 years old,Serbia,413.0,MariaDB
884,45-54 years old,Serbia,413.0,Microsoft SQL Server
886,35-44 years old,USA,190000.0,PostgreSQL
886,35-44 years old,USA,190000.0,Redis
886,35-44 years old,USA,190000.0,Supabase
889,18-24 years old,Croatia,167554.0,PostgreSQL
889,18-24 years old,Croatia,167554.0,Redis
890,25-34 years old,Poland,38604.0,No database reported
891,35-44 years old,Portugal,83777.0,MySQL
892,25-34 years old,Netherlands,38666.0,No database reported
893,18-24 years old,USA,120000.0,PostgreSQL
894,35-44 years old,Uk,112101.0,SQLite
898,18-24 years old,USA,85000.0,No database reported
901,25-34 years old,Brazil,34609.0,Dynamodb
901,25-34 years old,Brazil,34609.0,Elasticsearch
901,25-34 years old,Brazil,34609.0,MySQL
901,25-34 years old,Brazil,34609.0,PostgreSQL
901,25-34 years old,Brazil,34609.0,Redis
